ds,y
2016-11-18,25.690001000000002
2016-11-21,25.51
2016-11-22,25.18
2016-11-23,24.879998999999998
2016-11-25,25.190001000000002
2016-11-28,24.530001000000002
2016-11-29,24.49
2016-11-30,24.440001000000002
2016-12-01,24.299999
2016-12-02,24.440001000000002
2016-12-05,24.33
2016-12-06,24.5
2016-12-07,24.969998999999998
2016-12-08,25.030001000000002
2016-12-09,25.200001
2016-12-12,25.030001000000002
2016-12-13,25.450001
2016-12-14,25.120001000000002
2016-12-15,24.68
2016-12-16,25.24
2016-12-19,25.129998999999998
2016-12-20,24.889999
2016-12-21,24.790001
2016-12-22,24.719998999999998
2016-12-23,24.65
2016-12-27,24.540001
2016-12-28,24.389999
2016-12-29,24.530001000000002
2016-12-30,24.43
2017-01-03,24.959999
2017-01-04,25.530001000000002
2017-01-05,26.299999
2017-01-06,26.23
2017-01-09,25.58
2017-01-10,26.030001000000002
2017-01-11,26.52
2017-01-12,26.65
2017-01-13,26.530001000000002
2017-01-17,26.24
2017-01-18,25.969998999999998
2017-01-19,25.84
2017-01-20,25.790001
2017-01-23,25.93
2017-01-24,25.450001
2017-01-25,24.799999
2017-01-26,24.639999
2017-01-27,24.58
2017-01-30,24.9
2017-01-31,24.9
2017-02-01,24.799999
2017-02-02,24.690001000000002
2017-02-03,24.629998999999998
2017-02-06,24.42
2017-02-07,24.450001
2017-02-08,24.870001000000002
2017-02-09,25.290001
2017-02-10,25.0
2017-02-13,24.99
2017-02-14,24.879998999999998
2017-02-15,25.030001000000002
2017-02-16,25.219998999999998
2017-02-17,25.110001
2017-02-21,25.5
2017-02-22,25.5
2017-02-23,25.77
2017-02-24,25.73
2017-02-27,25.41
2017-02-28,25.41
2017-03-01,25.299999
2017-03-02,25.24
2017-03-03,25.27
2017-03-06,25.129998999999998
2017-03-07,25.040001
2017-03-08,25.059998999999998
2017-03-09,25.190001000000002
2017-03-10,25.27
2017-03-13,25.309998999999998
2017-03-14,25.200001
2017-03-15,25.879998999999998
2017-03-16,26.379998999999998
2017-03-17,26.549999
2017-03-20,26.48
2017-03-21,26.52
2017-03-22,26.530001000000002
2017-03-23,26.780001000000002
2017-03-24,26.879998999999998
2017-03-27,26.91
2017-03-28,26.639999
2017-03-29,26.639999
2017-03-30,26.450001
2017-03-31,26.43
2017-04-03,26.280001000000002
2017-04-04,26.15
2017-04-05,26.08
2017-04-06,25.809998999999998
2017-04-07,25.59
2017-04-10,25.73
2017-04-11,25.84
2017-04-12,26.01
2017-04-13,25.799999
2017-04-17,25.99
2017-04-18,26.049999
2017-04-19,25.9
2017-04-20,25.93
2017-04-21,25.83
2017-04-24,26.34
2017-04-25,26.33
2017-04-26,26.48
2017-04-27,26.469998999999998
2017-04-28,26.190001000000002
2017-05-01,26.209999
2017-05-02,26.5
2017-05-03,26.540001
2017-05-04,26.75
2017-05-05,27.01
2017-05-08,26.959999
2017-05-09,26.950001
2017-05-10,27.129998999999998
2017-05-11,26.940001000000002
2017-05-12,27.58
2017-05-15,27.58
2017-05-16,28.690001000000002
2017-05-17,28.84
2017-05-18,29.01
2017-05-19,29.18
2017-05-22,29.620001000000002
2017-05-23,29.5
2017-05-24,29.629998999999998
2017-05-25,29.91
2017-05-26,29.98
2017-05-30,29.860001
2017-05-31,30.26
2017-06-01,30.08
2017-06-02,30.190001000000002
2017-06-05,30.18
2017-06-06,30.129998999999998
2017-06-07,29.02
2017-06-08,28.68
2017-06-09,28.459999
2017-06-12,28.889999
2017-06-13,28.99
2017-06-14,28.860001
2017-06-15,28.629998999999998
2017-06-16,28.889999
2017-06-19,28.860001
2017-06-20,28.52
2017-06-21,28.549999
2017-06-22,28.75
2017-06-23,28.85
2017-06-26,28.790001
2017-06-27,28.65
2017-06-28,28.889999
2017-06-29,28.719998999999998
2017-06-30,28.73
2017-07-03,28.68
2017-07-05,28.6
2017-07-06,28.57
2017-07-07,28.68
2017-07-10,28.719998999999998
2017-07-11,28.370001000000002
2017-07-12,28.9
2017-07-13,29.059998999999998
2017-07-14,29.1
2017-07-17,29.209999
2017-07-18,29.139999
2017-07-19,29.33
2017-07-20,29.559998999999998
2017-07-21,29.77
2017-07-24,29.299999
2017-07-25,29.1
2017-07-26,29.17
2017-07-27,29.52
2017-07-28,29.440001000000002
2017-07-31,29.68
2017-08-01,29.639999
2017-08-02,29.67
2017-08-03,29.77
2017-08-04,29.809998999999998
2017-08-07,29.9
2017-08-08,29.620001000000002
2017-08-09,29.82
2017-08-10,29.280001000000002
2017-08-11,29.0
2017-08-14,29.290001
2017-08-15,29.030001000000002
2017-08-16,29.01
2017-08-17,28.559998999999998
2017-08-18,28.549999
2017-08-21,28.700001
2017-08-22,28.809998999999998
2017-08-23,28.629998999999998
